iter	Passed	Remaining
1324	989003	503832
1325	989733	503077
1326	990582	502382
1327	991439	501692
1328	992268	500987
1329	993122	500294
1330	993951	499589
1331	994794	498890
1332	995635	498191
1333	996485	497495
1334	997237	496751
1335	998091	496057
1336	998923	495352
1337	999656	494598
1338	1000476	493887
1339	1001224	493140
1340	1001965	492390
1341	1002810	491690
1342	1003566	490947
1343	1004409	490247
1344	1005183	489513
1345	1005957	488778
1346	1006731	488044
1347	1007545	487329
1348	1008343	486606
1349	1009120	485873
1350	1009923	485152
1351	1010719	484427
1352	1011588	483737
1353	1012376	483009
1354	1013203	482299
1355	1014030	481589
1356	1014800	480852
1357	1015624	480140
1358	1016427	479418
1359	1017205	478685
1360	1018017	477967
1361	1018727	477201
1362	1019524	476476
1363	1020327	475753
1364	1021043	474991
1365	1021898	474292
1366	1022745	473590
1367	1023488	472839
1368	1024357	472147
1369	1025163	471425
1370	1026051	470741
1371	1026864	470022
1372	1027634	469284
1373	1028420	468552
1374	1029259	467845
1375	1030022	467103
1376	1030691	466318
1377	1031533	465612
1378	1032264	464855
1379	1033077	464136
1380	1033916	463428
1381	1034808	462743
1382	1035567	461999
1383	1036520	461341
1384	1037244	460581
1385	1038115	459886
1386	1038920	459162
1387	1039855	458495
1388	1040738	457805
1389	1041586	457098
1390	1042350	456356
1391	1043163	455634
1392	1044032	454937
1393	1044768	454182
1394	1045585	453462
1395	1046439	452757
1396	1047170	452000
1397	1048013	451290
1398	1048860	450582
1399	1049609	449832
1400	1050469	449130
1401	1051207	448375
1402	1052032	447657
1403	1052899	446957
1404	1053778	446262
1405	1054605	445544
1406	1055424	444823
1407	1056316	444133
1408	1057282	443473
1409	1058117	442758
1410	1058981	442055
1411	1059809	441337
1412	1060646	440622
1413	1061377	439863
1414	1062185	439136
1415	1062923	438380
1416	1063770	437669
1417	1064601	436951
1418	1065451	436241
1419	1066370	435559
1420	1067188	434836
1421	1068102	434151
1422	1068920	433427
1423	1069655	432669
1424	1070460	431940
1425	1071433	431278
1426	1072341	430589
1427	1073176	429871
1428	1073919	429116
1429	1074757	428399
1430	1075541	427661
1431	1076409	426955
1432	1077139	426195
1433	1077960	425471
1434	1078822	424762
1435	1079652	424041
1436	1080384	423282
1437	1081206	422557
1438	1082054	421843
1439	1082803	421090
1440	1083638	420370
1441	1084457	419644
1442	1085233	418901
1443	1086065	418180
1444	1086836	417435
1445	1087707	416728
1446	1088802	416107
1447	1089537	415348
1448	1090407	414640
1449	1091302	413942
1450	1092174	413234
1451	1092983	412503
1452	1093733	411749
1453	1094560	411024
1454	1095380	410297
1455	1096145	409549
1456	1096983	408827
1457	1097891	408132
1458	1098749	407418
1459	1099671	406727
1460	1100495	406000
1461	1101325	405275
1462	1102122	404538
1463	1103044	403846
1464	1103888	403126
1465	1104675	402385
1466	1105529	401668
1467	1106302	400921
1468	1107095	400182
1469	1107905	399448
1470	1108647	398691
1471	1109477	397964
1472	1110312	397240
1473	1111046	396479
1474	1111956	395781
1475	1112815	395064
1476	1113662	394343
1477	1114636	393667
1478	1115427	392926
1479	1116248	392195
1480	1117191	391507
1481	1118047	390788
1482	1118950	390085
1483	1119752	389348
1484	1120577	388617
1485	1121403	387887
1486	1122253	387166
1487	1122959	386394
1488	1123844	385684
1489	1124682	384958
1490	1125403	384191
1491	1126250	383468
1492	1127033	382723
1493	1127857	381991
1494	1128594	381230
1495	1129412	380497
1496	1130101	379720
1497	1130966	379002
1498	1131842	378287
1499	1132679	377559
1500	1133448	376809
1501	1134289	376082
1502	1135073	375337
1503	1135794	374570
1504	1136656	373850
1505	1137503	373125
1506	1138224	372358
1507	1139046	371625
1508	1139865	370890
1509	1140703	370162
1510	1141503	369420
1511	1142307	368681
1512	1143123	367945
1513	1143990	367225
1514	1144741	366468
1515	1145587	365741
1516	1146440	365017
1517	1147187	364258
1518	1148040	363533
1519	1148801	362779
1520	1149581	362031
1521	1150438	361307
1522	1151231	360562
1523	1151977	359804
1524	1152826	359077
1525	1153598	358326
1526	1154410	357587
1527	1155169	356832
1528	1156055	356116
1529	1156855	355373
1530	1157698	354644
1531	1158459	353889
1532	1159392	353187
1533	1160242	352459
1534	1161009	351706
1535	1161798	350960
1536	1162660	350235
1537	1163380	349467
1538	1164274	348752
1539	1165131	348026
1540	1165970	347294
1541	1166731	346539
1542	1167576	345808
1543	1168265	345031
1544	1169039	344280
1545	1169809	343527
1546	1170523	342758
1547	1171367	342027
1548	1172251	341307
1549	1173037	340559
1550	1173785	339800
1551	1174615	339064
1552	1175397	338314
1553	1176172	337563
1554	1177052	336841
1555	1177801	336082
1556	1178632	335346
1557	1179395	334591
1558	1180127	333827
1559	1180983	333097
1560	1181715	332333
1561	1182563	331602
1562	1183548	330908
1563	1184313	330153
1564	1185137	329415
1565	1185871	328651
1566	1186697	327913
1567	1187438	327151
1568	1188277	326416
1569	1189146	325689
1570	1189915	324935
1571	1190745	324197
1572	1191643	323478
1573	1192404	322721
1574	1193028	321928
1575	1193597	321120
1576	1194179	320315
1577	1194847	319534
1578	1195415	318727
1579	1195974	317917
1580	1196552	317112
1581	1197242	316338
1582	1198319	315665
1583	1199402	314994
1584	1200294	314272
1585	1201220	313559
1586	1202122	312839
1587	1202974	312106
1588	1203846	311378
1589	1204744	310657
1590	1205615	309928
1591	1206561	309219
1592	1207482	308502
1593	1208382	307781
1594	1209222	307044
1595	1210087	306312
1596	1210968	305585
1597	1211820	304850
1598	1212679	304117
1599	1213531	303382
1600	1214394	302650
1601	1215219	301908
1602	1216087	301177
1603	1217002	300456
1604	1217888	299729
1605	1218769	299000
1606	1219923	298338
1607	1221087	297678
1608	1222494	297076
1609	1223980	296492
1610	1225111	295821
1611	1225920	295072
1612	1226810	294343
1613	1227686	293610
1614	1228553	292874
1615	1229385	292131
1616	1230313	291410
1617	1231236	290687
1618	1232043	289937
1619	1232811	289177
1620	1233684	288443
1621	1234542	287704
1622	1235392	286964
1623	1236165	286205
1624	1237023	285466
1625	1237880	284727
1626	1238842	284012
